bt_x_1,bt_x_2,bt_x_3,bt_x_4,bt_range,bt_angle,bt_env_categories_1,bt_env_categories_2,bt_env_categories_3,bt_env_categories_4,bt_env_categories_5,bt_env_categories_6,bt_env_categories_7,bt_env_categories_8,bt_env_categories_9,bt_pos_loc_categories_1,bt_pos_loc_categories_2,bt_pos_loc_categories_3,bt_pos_loc_categories_4,bt_pos_loc_categories_5,bt_pos_loc_categories_6,bt_pos_loc_categories_7,bt_pos_loc_categories_8
-39.4747817038919,-34.8744037757333,4.60037792815861,351751390.021751,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-75.5867952631393,-66.9004731648105,8.68632209832888,664168448.913141,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-67.1854915274177,-59.5296958253598,7.65579570205791,585372946.387014,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.4953283585501,-63.2822224619736,8.21310589657648,627985670.836782,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.9043565928274,-61.0363387639547,7.86801782887271,601599750.228759,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.8878357366035,-63.7986548716838,8.08918086491965,618510188.333759,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.001725302697,-62.053049461867,7.94867584082993,607766975.978735,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.8719611504679,-62.8373501481177,8.03461100235016,614337699.937225,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.1431663685469,-63.1576988983932,7.98546747015376,610580116.35207,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.0702344311795,-63.0595559974602,8.01067843371923,612507782.459768,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.808504339189,-62.8084781032917,8.00002623589726,611693300.683234,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.2811463235191,-63.2811200876219,8.00002623589725,611693300.840894,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.4155928930021,-61.4156453647966,7.99994752820546,611687283.023789,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.4187065793796,-62.4186803434823,8.00002623589726,611693301.326579,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.7588070117108,-62.7587807758136,8.00002623589725,611693301.69065,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.0541982077748,-62.0542506795693,7.99994752820546,611687283.84993,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.7580761102009,-61.7580498743037,8.00002623589726,611693302.099128,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.0894280313934,-62.0894017954961,8.00002623589725,611693302.314822,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.0423168695466,-63.0423693413412,7.99994752820546,611687284.491759,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.005834161954,-63.0058079260567,8.00002623589726,611693302.787272,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-71.7210066409904,-63.7209804050932,8.00002623589725,611693302.965917,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.914092745288,-62.9141452170826,7.99994752820546,611687285.003388,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.9341139079031,-62.9340876720059,8.00002623589726,611693303.256308,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-70.7641840167571,-62.7641577808599,8.00002623589725,611693303.506843,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.2269428917925,-61.226995363587,7.99994752820546,611687285.594419,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.3828834057781,-61.3828571698809,8.00002623589726,611693303.959295,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-68.8560743262283,-60.856048090331,8.00002623589725,611693304.087401,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.4516176155445,-61.4516700873391,7.99994752820546,611687286.150652,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-69.3521539798826,-61.3521277439853,8.00002623589726,611693304.485178,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
