gyro_x_1,gyro_x_2,gyro_x_3,gyro_x_4,gyro_x_5,gyro_x_6,gyro_x_7,gyro_range,gyro_angle,gyro_env_categories_1,gyro_env_categories_2,gyro_env_categories_3,gyro_env_categories_4,gyro_env_categories_5,gyro_env_categories_6,gyro_env_categories_7,gyro_env_categories_8,gyro_env_categories_9,gyro_pos_loc_categories_1,gyro_pos_loc_categories_2,gyro_pos_loc_categories_3,gyro_pos_loc_categories_4,gyro_pos_loc_categories_5,gyro_pos_loc_categories_6,gyro_pos_loc_categories_7,gyro_pos_loc_categories_8
-0.0660557006108587,0.0639423938653138,0.0396906568896545,0.100136574540727,0.0919346796177499,0.0770629861056764,0.0752594045788246,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0615140444722995,0.0615519350675611,0.0379025883650374,0.0949169351731859,0.0870207927905814,0.0722536080213958,0.0722858694028835,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0569057589915192,0.0592490980399996,0.0361385516837558,0.0897480692981963,0.08215059966278,0.0674111290826697,0.0694006522761348,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0522980465090751,0.0570461935150415,0.0344309344564922,0.0847044456375709,0.0773909158959948,0.0626144944578541,0.0666315048764683,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.047721600997489,0.0549398998611442,0.0327964376057555,0.0798207373941403,0.0727718613099603,0.0579047279709676,0.0639843646243422,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0432157051779123,0.0529255770786154,0.0312324564601062,0.0751277593147908,0.0683279875536277,0.0533203855064521,0.0614539099296122,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0388590415571356,0.0509990385411725,0.0297403450661286,0.0706782510219062,0.0641165114682886,0.0489337637566496,0.0590371921484787,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0346933600889071,0.0491593811219595,0.0283221914843585,0.0665012820705684,0.060168712688179,0.0447858880087829,0.0567343924156303,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0307450081164393,0.0474013501603487,0.0269806112097154,0.0626106772232478,0.0564990577010263,0.0409048763025845,0.0545421064708158,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
-0.0270546984050327,0.0457227775669055,0.0257195531120644,0.0590256258459348,0.0531274796524359,0.0373289715646116,0.0524601544099616,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
